"Food code (level 2)","Food name (level 2)","Country ","Country code","Retail waste","Consumer waste"
"A.05.03","Stone fruits","Germany","DE",0.1,0.19
"A.05.04","Berries and small fruits","Germany","DE",0.1,0.19
"A.05.05","Oilfruits","Germany","DE",0.1,0.19
"A.05.06","Miscellaneous fruits","Germany","DE",0.1,0.19
"A.05.07","Dried fruits","Germany","DE",0.1,0.19
"A.05.08","Jam, marmalade and other fruit spreads","Germany","DE",0.1,0.19
"A.05.09","Other fruit products (excluding beverages)","Germany","DE",0.1,0.19
"A.06","Meat and meat products (including edible offal)","Germany","DE",0.04,0.11
"A.06.01","Livestock meat","Germany","DE",0.04,0.11
"A.06.02","Poultry","Germany","DE",0.04,0.11
"A.06.03","Game mammals","Germany","DE",0.04,0.11
"A.06.04","Game birds","Germany","DE",0.04,0.11
"A.06.05","Mixed meat","Germany","DE",0.04,0.11
"A.06.06","Edible offal, farmed animals","Germany","DE",0.04,0.11
"A.06.07","Edible offal, game animals","Germany","DE",0.04,0.11
"A.06.08","Preserved meat","Germany","DE",0.04,0.11
"A.06.09","Sausages","Germany","DE",0.04,0.11
"A.06.10","Meat specialities","Germany","DE",0.04,0.11
"A.06.11","Pastes, pâtés and terrines","Germany","DE",0.04,0.11
"A.06.12","Meat imitates","Germany","DE",0.04,0.11
"A.07","Fish and other seafood (including amphibians, reptiles, snails and insects)","Germany","DE",0.09,0.11
"A.07.01","Fish meat","Germany","DE",0.09,0.11
"A.07.02","Fish products","Germany","DE",0.09,0.11
"A.07.03","Fish offal","Germany","DE",0.09,0.11
"A.07.04","Crustaceans","Germany","DE",0.09,0.11
"A.07.05","Water molluscs","Germany","DE",0.09,0.11
"A.07.06","Amphibians, reptiles, snails, insects","Germany","DE",0.09,0.11
"A.08","Milk and dairy products","Germany","DE",0.005,0.07
"A.08.01","Liquid milk","Germany","DE",0.005,0.07
"A.08.02","Milk based beverages","Germany","DE",0.005,0.07
"A.08.03","Concentrated milk","Germany","DE",0.005,0.07
"A.08.04","Whey and whey products (excluding whey cheese)","Germany","DE",0.005,0.07
"A.08.05","Cream and cream products","Germany","DE",0.005,0.07
"A.08.06","Fermented milk products","Germany","DE",0.005,0.07
"A.08.07","Milk derivatives","Germany","DE",0.005,0.07
"A.08.08","Cheese","Germany","DE",0.005,0.07
"A.08.09","Milk and milk product imitates","Germany","DE",0.005,0.07
"A.09","Eggs and egg products","Germany","DE",0.005,0.07
"A.09.01","Eggs, fresh","Germany","DE",0.005,0.07
"A.09.02","Eggs, powder","Germany","DE",0.005,0.07
"A.10","Sugar and confectionary","Germany","DE",0.01,0.04
"A.10.01","Sugars","Germany","DE",0.01,0.04
"A.10.02","Sugar substitutes","Germany","DE",0.01,0.04
"A.10.03","Chocolate (Cocoa) products","Germany","DE",0.01,0.04
"A.10.04","Confectionery (non-chocolate)","Germany","DE",0.01,0.04
"A.10.05","Dessert sauces","Germany","DE",0.01,0.04
"A.10.06","Molasses and other syrups","Germany","DE",0.01,0.04
"A.10.07","Honey","Germany","DE",0.01,0.04
"A.11","Animal and vegetable fats and oils","Germany","DE",0.01,0.04
"A.11.01","Animal fat","Germany","DE",0.04,0.11
"A.11.02","Fish oil","Germany","DE",0.09,0.11
"A.11.03","Vegetable fat","Germany","DE",0.01,0.04
"A.11.04","Vegetable oil","Germany","DE",0.01,0.04
"A.11.05","Fats of mixed origin","Germany","DE",0.01,0.04
"A.11.06","Margarine and similar products","Germany","DE",0.01,0.04
"A.12","Fruit and vegetable juices","Germany","DE",0.1,0.19
"A.12.01","Fruit juice","Germany","DE",0.1,0.19
"A.12.02","Concentrated fruit juice","Germany","DE",0.1,0.19
"A.12.03","Fruit nectar","Germany","DE",0.1,0.19
"A.12.04","Mixed fruit juice","Germany","DE",0.1,0.19
"A.12.05","Dehydrated/powdered fruit juice","Germany","DE",0.1,0.19
"A.12.06","Vegetable juice","Germany","DE",0.1,0.19
"A.12.07","Mixed vegetable juice","Germany","DE",0.1,0.19
"A.12.08","Mixed fruit and vegetable juice","Germany","DE",0.1,0.19
"A.13","Non-alcoholic beverages (excepting milk based beverages)","Germany","DE",0.01,0.04
"A.13.01","Soft drinks","Germany","DE",0.01,0.04
"A.13.02","Tea (Infusion)","Germany","DE",0.01,0.04
"A.13.03","Coffee (Beverage)","Germany","DE",0.01,0.04
"A.13.04","Coffee imitates beverage","Germany","DE",0.01,0.04
"A.13.05","Cocoa beverage","Germany","DE",0.01,0.04
"A.14","Alcoholic beverages","Germany","DE",0.01,0.04
"A.14.01","Beer and beer-like beverage","Germany","DE",0.01,0.04
