Code,Name,Amount
A.14.06.005,"Rum",0.0085
A.01.04.005.005,"Rusk, refined flour",0.6914
A.01.04.005.006,"Rusk, wholemeal",0.1437
A.01.04.002.003,"Rye bread and rolls, wholemeal",0.0027
A.01.04.005.001,"Rye crisp bread",0.0047
A.01.04.002.005,"Rye only bread and rolls",0.1297
A.16.02.029,"Saffron and similar-",0.0012
A.16.01.006,"Sage",0.0021
A.16.06.001,"Salad dressing",3.0595
A.06.09.006.001,"Salami-type sausage",1.3041
A.16.05.013,"Salsa",0.0102
A.02.01.009,"Spanish salsifies",0.1367
A.16.04.001,"Salt",0.2843
A.16.04.006,"Salt, flavoured",0.0034
A.16.04.003,"Salt, iodised",0.4184
A.16.04.005,"Salt, iodised and fluoridated",0.0148
A.16.04.002,"Salt, low sodium",0.0004
A.01.04.001.010,"Sandwich bread (hamburger roll-type)",14.6457
A.16.05.011,"Teriyaki sauce",0.2119
A.02.14.006,"Sauerkraut",0.1562
I.10.05.005,"Savoury sauces",1.2662
A.07.05.010,"Scallops, pectens",0.2135
A.07.01.011,"Sea bass",0.1417
A.07.01.026,"Sea bream",0.1359
A.16.04.007,"Sea salt",0.0377
A.11.04.015,"Sesame seed oil, edible",0.0044
A.01.03.001.013,"Semolina",0.3426
A.02.14.011,"Sesame paste (tahini) (sesamus indicum)",0.0087
A.02.02.003,"Shallots and similar-",0.5408
A.07.04.005,"White shrimp",0.1235
I.08.08.189,"Soft-ripened cheese with natural rind and other soft-ripened cheeses",4.3547
A.13.01.002.010,"Soft drinks with minor amounts of fruits or flavours",41.5741
A.13.01.002.011,"Soft drink, with fruit juice (fruit content below the minimum for nectars)",39.9626
I.08.08.190,"Soft-ripened cheese with white and blue mould (cambozola type)",0.0989
A.08.08.105,"Soft-ripened washed-rind cheese (limburger type)",0.2452
A.07.01.022,"Yellowfin sole",0.1486
A.20.02.005,"Water-based ice creams",1.0929
A.08.09.008,"Soya drink",0.9163
A.08.09.009,"Soya yoghurt",0.2139
A.06.12.001,"Soyabean-based meat imitates",0.1565
A.04.02.012,"Soyabeans for oil",0.0005
I.02.05.023,"Sprouts, shoots and similar",0.3212
A.01.07.002.008,"Speculaas",0.082
I.16.03.003.002,"Spices",0.0108
A.14.06.006,"Spirits made from stone fruits",0.0124
A.14.06.004,"Vodka and vodka-like spirits",0.0887
A.07.05.001,"Squids, cuttlefishes, octopuses",0.2353
A.01.07.002.014,"Sticks, salty",0.1086
A.16.04.008,"Stock cube or granulate, beef",0.0191
A.16.04.009,"Thickener",0.0719
A.16.04.011,"Stock cubes or granulate, meat",0.0205
A.16.04.012,"Vegetable savoury extracts",0.0118
A.10.01.011,"Sugars (mono- and di-saccharides)",0.5782
A.10.04.009,"Sugar cotton",0.0826
A.10.01.006,"Sugar, icing - powder",0.0427
A.11.04.017,"Sunflower seed oil, edible",0.867
A.01.06.003.002,"Sweet bars and other formed sweet masses",2.1619
A.02.03.012,"Sweet corn canned",1.3921
A.03.02.001,"Sweet potatoes",0.1151
A.07.01.036,"Swordfish",0.0311
A.10.06.005,"Syrups (molasses and other syrups)",0.0827
A.16.05.008,"Tabasco sauce",0.008
A.15.01,"Tap water",446.0455
A.03.02.003,"Tapioca starch-based snacks",0.0204
A.16.01.011,"Tarragon",0.0003
A.16.05.014,"Tartar sauce",0.0527
