Code,Name,Amount
A.02.05.013,"Swiss chards",4.3714
A.07.01.036,"Swordfish",4.0106
A.10.06.005,"Syrups (molasses and other syrups)",0.0165
A.05.04.001,"Table grapes and similar-",7.4537
A.15.01,"Tap water",473.3488
A.02.10.001,"Teas leaves, dry and/or fermented, and similar",22.3981
A.10.04.006,"Toffee",0.0158
A.16.05.006,"Tomato ketchup and related sauces",0.1949
A.02.14.003,"Tomato puree",0.3237
I.16.08.010.009,"Tomato-containing cooked sauces",0.0455
A.02.03.001,"Tomatoes and similar-",43.9969
A.01.04.005.009,"Tortilla",0.0758
I.07.01.006.002,"Trouts",0.4491
A.02.16.004,"Truffles",0.0468
A.16.02.031,"Turmeric roots",0.0196
A.02.01.012,"Turnips",7.4893
A.01.03.008.004,"Unleavened doughs",0.0551
A.16.09.003,"Vanillin flavour",0.0002
A.12.07.001,"Vegetable juices",0.0379
A.16.05.005,"Vinegar, apple",0.0909
A.18.02.001,"Vitamins",0.062
I.01.07.002.016,"Wafers",0.6971
A.01.07.001.037,"Waffles",0.2459
A.04.03.012,"Walnuts",0.6508
A.02.03.011,"Watermelons and similar-",12.9594
A.15.02,"Well water",11.9559
A.01.04.001.004,"Wheat bread and rolls, brown or wholemeal",11.9554
A.01.04.001.007,"Wheat bread and rolls, semi-brown",22.1911
A.01.04.005.003,"Wheat crisp bread",0.4219
A.01.03.001.003,"Wheat flour white",4.2797
A.01.03.001.012,"Wheat semolina",0.0386
A.01.03.001.004,"Wheat wholemeal flour",0.0502
A.01.06.004.005,"Wheat, popped",0.0186
A.14.06.002,"Whisky",0.0569
I.10.03.009.002,"White chocolate",0.0477
A.10.01.001,"White sugar",4.6536
A.06.03.001,"Wild boar fresh meat",0.3518
A.02.08.003,"Wild chicories",5.948
A.14.02.003,"Wine, red",33.2645
A.14.02.001,"Wine-like drinks",20.8036
A.02.05.016,"Witloofs and similar-",0.8607
A.03.02.004,"Yams",0.0303
A.08.06.002.002,"Yoghurt drinks, including sweetened and/or flavoured variants",0.978
A.08.06.001.002,"Yoghurt, cow milk",24.4415
A.08.06.003,"Yoghurt, sheep milk",0.1931
