Code,Name,Amount
A.05.06.017,"Papayas",0.0247
A.16.01.005,"Root parsley leaves",0.0889
A.02.01.007,"Parsnip roots",2.5286
A.05.06.010,"Passionfruits",0.0149
A.01.05.013,"Pasta wholemeal",0.7457
I.01.05.016,"Pasta, plain (not stuffed), cooked",0.3937
A.01.05.006,"Pasta-like products",5.4889
I.01.07.001.051,"Shortcrust (pies -tarts)",0.8816
A.06.11.003,"Pate, chicken liver",0.0314
A.06.11.004,"Pate, pork liver",0.0455
A.11.03.001,"Peanut butter",0.3289
A.11.04.011,"Peanut oil, edible",0.0022
A.04.02.021,"Peanuts and similar-",0.9021
A.05.02.002,"Pears",5.6089
A.02.06.002,"Podded pea (young pods)",0.5446
A.04.01.002,"Peas shoots and sprouts",6.0833
A.04.03.009,"Pecans",0.0184
A.16.02.028,"Sichuan pepper fruit",0.1288
A.06.09.006.005,"Spalla cotta",0.0606
A.02.03.002,"Sweet peppers",8.3934
I.16.08.006.002,"Pesto",0.2797
A.06.04.001,"Pheasant fresh meat",0.014
A.02.14.005,"Processed or preserved vegetables and similar",1.0982
A.06.06.011,"Pig kidney",0.0207
A.06.06.023,"Pig trotters and feet",0.0049
A.04.03.010,"Pine nut kernels and similar-",0.0636
A.05.06.021,"Pineapples",0.8183
A.04.03.011,"Pistachios",0.0986
A.01.04.005.007,"Pita bread",1.5922
I.19.01.002.009,"Yeast bread – pizza dough",10.2384
A.07.01.021,"Pleurotus",0.4536
A.05.03.002,"Plums and similar-",1.2137
A.19.08.007,"Poached eggs",0.8026
A.20.01.005,"Popcorn kernels",1.2557
I.01.07.001.055,"Poppy seeds",0.0033
A.11.01.004,"Pork lard",0.0137
A.01.06.007.001,"Oat porridge",33.4066
A.14.02.003,"Wine, red",24.0143
A.03.01.011,"Potato flour",0.0353
A.20.01.001,"Potato starch-based snacks",0.2682
A.10.03.010,"Pralines",0.0124
A.01.03.008.004,"Unleavened doughs",0.0026
A.20.01.006,"Pretzels",0.0218
A.08.08.004,"Processed cheese, spreadable",1.1392
A.08.08.003,"Processed cheese, sliceable",1.0873
A.01.06.001.002,"Processed mixed cereal-based flakes",8.7327
A.01.06.001.020,"Processed wheat-based flakes",7.6071
A.06.09.005.009,"Spreadable cooked sausages",0.4215
A.01.07.001.029,"Profiterole",0.1156
A.01.04.006.008,"Puffed rice textured bread",0.2384
A.04.04.009,"Pumpkin seeds",0.1258
A.02.03.010,"Pumpkins and similar-",0.3321
I.01.02.010.006,"Quinoa grain",0.1273
A.06.01.007,"Rabbit, other slaughtering products",0.0662
A.02.01.008,"Small radishes",0.0506
A.11.04.013,"Rape seed oil, edible",0.0121
A.16.07.011,"Relishes",0.3279
A.01.06.001.016,"Rice rolled grains",0.0595
A.08.09.005,"Rice drink",1.0757
A.01.03.006.001,"Rice flour",0.0209
A.01.02.009.003,"Rice grain",8.279
A.01.06.004.004,"Rice, popped",1.7945
A.08.08.144,"Ricotta",0.0825
A.01.04.002.003,"Rye bread and rolls, wholemeal",0.4735
A.16.01.006,"Sage",0.0009
I.16.01.022,"Sage, dry",0.0039
A.16.06.001,"Salad dressing",0.7658
A.16.06.003,"Salad dressing, low fat",0.0818
