Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2018,2018,kg,7.57,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2019,2019,kg,7.32,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2020,2020,kg,7.31,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2021,2021,kg,7.3,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2764,"Marine Fish, Other",2017,2017,kg,0.14,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2764,"Marine Fish, Other",2018,2018,kg,0.11,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2764,"Marine Fish, Other",2019,2019,kg,0.12,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2764,"Marine Fish, Other",2020,2020,kg,0.12,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2764,"Marine Fish, Other",2021,2021,kg,0.12,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2765,Crustaceans,2017,2017,kg,3.83,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2765,Crustaceans,2018,2018,kg,3.68,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2765,Crustaceans,2019,2019,kg,3.51,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2765,Crustaceans,2020,2020,kg,3.51,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2765,Crustaceans,2021,2021,kg,3.51,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2766,Cephalopods,2017,2017,kg,0.93,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2766,Cephalopods,2018,2018,kg,0.91,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2766,Cephalopods,2019,2019,kg,0.88,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2766,Cephalopods,2020,2020,kg,0.87,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2766,Cephalopods,2021,2021,kg,0.87,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2767,"Molluscs, Other",2017,2017,kg,5.68,E,Estimated value
