SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
01254,Leeks and other alliaceous vegetables,Vegetables,IE,0.468,0.07,0
01254,Leeks and other alliaceous vegetables,Vegetables,NL,0.213,0.07,0
01254,Leeks and other alliaceous vegetables,Vegetables,GB,0.16,0.07,0
01254,Leeks and other alliaceous vegetables,Vegetables,RoW,0.16,0.07,0
01322,Lemons and limes,Fruits,AR,0.392,0.07,0
01322,Lemons and limes,Fruits,ES,0.334,0.07,0
01322,Lemons and limes,Fruits,RoW,0.274,0.07,0
01704,"Lentils, dry (organic)",Pulses,CA,0.612,0.06,0
01704,"Lentils, dry (organic)",Pulses,TR,0.246,0.06,0
01704,"Lentils, dry (organic)",Pulses,RoW,0.142,0.06,0
01214,Lettuce and chicory,Vegetables,IE,0.368,0.07,0
01214,Lettuce and chicory,Vegetables,ES,0.373,0.07,0
01214,Lettuce and chicory,Vegetables,RoW,0.259,0.07,0
01441,Linseed,Seeds,CA,0.218,0.06,0
01441,Linseed,Seeds,RU,0.184,0.06,0
01441,Linseed,Seeds,GB,0.44,0.06,0
01441,Linseed,Seeds,RoW,0.158,0.06,0
01709.02,Lupins,Pulses,DE,0.867,0.06,0
01709.02,Lupins,Pulses,RoW,0.133,0.06,0
0112,Maize (corn),"Cereals, incl feed",FR,0.144,0.045,0
0112,Maize (corn),"Cereals, incl feed",UA,0.229,0.045,0
0112,Maize (corn),"Cereals, incl feed",US,0.294,0.045,0
0112,Maize (corn),"Cereals, incl feed",RoW,0.333,0.045,0
01316,"Mangoes, guavas and mangosteens",Fruits,BR,0.286,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,PK,0.133,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,PE,0.263,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,RoW,0.318,0.07,0
01630,Maté leaves,Stimulants,AR,0.431,0.07,0
01630,Maté leaves,Stimulants,BR,0.512,0.07,0
01630,Maté leaves,Stimulants,RoW,0.057,0.07,0
21118.02,"meat of asses, fresh or chilled",Meat,RoW,1,0.057,0
21111.02,"meat of cattle with the bone, fresh or chilled",Meat,IE,0.96,0.057,0
21111.02,"meat of cattle with the bone, fresh or chilled",Meat,RoW,0.04,0.057,0
21121,"meat of chickens, fresh or chilled",Meat,IE,0.507,0.057,0
21121,"meat of chickens, fresh or chilled",Meat,NL,0.117,0.057,0
21121,"meat of chickens, fresh or chilled",Meat,GB,0.181,0.057,0
21121,"meat of chickens, fresh or chilled",Meat,RoW,0.195,0.057,0
21122,"meat of ducks, fresh or chilled",Meat,FR,0.11,0.057,0
21122,"meat of ducks, fresh or chilled",Meat,IE,0.797,0.057,0
21122,"meat of ducks, fresh or chilled",Meat,RoW,0.093,0.057,0
21123,"meat of geese, fresh or chilled",Meat,IE,0.919,0.057,0
