RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
A.04.01.001,Beans (fresh seeds without pods) and similar-,USA,US,0.241,0.06,01701
A.04.01.001,Beans (fresh seeds without pods) and similar-,Rest of World,RoW,0.602,0.06,01701
A.04.01.002,Peas (without pods) and similar-,France,FR,0.966,0.07,01242
A.04.01.002,Peas (without pods) and similar-,Rest of World,RoW,0.034,0.07,01242
A.04.02.001,Beans (dry) and similar-,France,FR,0.157,0.06,01701
A.04.02.001,Beans (dry) and similar-,USA,US,0.241,0.06,01701
A.04.02.001,Beans (dry) and similar-,Rest of World,RoW,0.602,0.06,01701
A.04.02.002,Lentils (dry) and similar-,Canada,CA,0.266,0.06,01704
A.04.02.002,Lentils (dry) and similar-,China,CN,0.237,0.06,01704
A.04.02.002,Lentils (dry) and similar-,France,FR,0.431,0.06,01704
A.04.02.002,Lentils (dry) and similar-,Rest of World,RoW,0.067,0.06,01704
A.04.02.003,Peas (dry) and similar-,France,FR,0.985,0.06,01705
A.04.02.003,Peas (dry) and similar-,Rest of World,RoW,0.015,0.06,01705
A.04.02.004,Lupins (Lupinus spp.),France,FR,0.931,0.06,01709.02
A.04.02.004,Lupins (Lupinus spp.),Rest of World,RoW,0.069,0.06,01709.02
A.04.02.005,Chickpeas (dry),Argentina,AR,0.102,0.06,01703
A.04.02.005,Chickpeas (dry),India,IN,0.504,0.06,01703
A.04.02.005,Chickpeas (dry),Mexico,MX,0.137,0.06,01703
A.04.02.005,Chickpeas (dry),Rest of World,RoW,0.257,0.06,01703
A.04.02.007,Broad bean (Vicia faba),France,FR,0.931,0.06,01702
A.04.02.007,Broad bean (Vicia faba),Rest of World,RoW,0.069,0.06,01702
A.04.02.007,Broad bean (Vicia faba),France,FR,0.931,0.07,01243
A.04.02.007,Broad bean (Vicia faba),Rest of World,RoW,0.069,0.07,01243
A.04.02.008,Lima beans (dry),France,FR,0.157,0.06,01701
A.04.02.008,Lima beans (dry),USA,US,0.241,0.06,01701
A.04.02.008,Lima beans (dry),Rest of World,RoW,0.602,0.06,01701
A.04.02.009,Mung bean sprouts,France,FR,0.157,0.06,01701
A.04.02.009,Mung bean sprouts,France,FR,0.157,0.06,01701
A.04.02.009,Mung bean sprouts,USA,US,0.241,0.06,01701
A.04.02.009,Mung bean sprouts,USA,US,0.241,0.06,01701
A.04.02.009,Mung bean sprouts,Rest of World,RoW,0.602,0.06,01701
A.04.02.009,Mung bean sprouts,Rest of World,RoW,0.602,0.06,01701
A.04.02.011,Black eyed peas (dry),France,FR,0.985,0.06,01705
A.04.02.011,Black eyed peas (dry),Rest of World,RoW,0.015,0.06,01705
A.04.02.012,Soyabeans for oil,Argentina,AR,0.131,0.06,0141
A.04.02.012,Soyabeans for oil,Brazil,BR,0.551,0.06,0141
A.04.02.012,Soyabeans for oil,Rest of World,RoW,0.319,0.06,0141
A.04.02.014,Carobs,France,FR,0.157,0.06,01709.90
A.04.02.014,Carobs,USA,US,0.241,0.06,01709.90
A.04.02.014,Carobs,Rest of World,RoW,0.602,0.06,01709.90
A.04.02.020,Yams,France,FR,0.879,0.24,01599.10
A.04.02.020,Yams,Rest of World,RoW,0.121,0.24,01599.10
A.04.02.021,Peanuts,Spain,ES,0.274,0.06,0142
A.04.02.021,Peanuts,USA,US,0.584,0.06,0142
A.04.02.021,Peanuts,Rest of World,RoW,0.142,0.06,0142
A.04.03.001,Almonds sweet,Spain,ES,0.274,0.06,01371
A.04.03.001,Almonds sweet,USA,US,0.584,0.06,01371
A.04.03.001,Almonds sweet,Rest of World,RoW,0.142,0.06,01371
A.04.03.002,Bitter almonds,Spain,ES,0.274,0.06,01371
A.04.03.002,Bitter almonds,USA,US,0.584,0.06,01371
A.04.03.002,Bitter almonds,Rest of World,RoW,0.142,0.06,01371
A.04.03.003,Brazil nuts,Spain,ES,0.274,0.06,01377
A.04.03.003,Brazil nuts,USA,US,0.584,0.06,01377
A.04.03.003,Brazil nuts,Rest of World,RoW,0.142,0.06,01377
A.04.03.004,Cashew nuts,India,IN,0.325,0.06,01372
A.04.03.004,Cashew nuts,Cote d'Ivoire,CI,0.216,0.06,01372
A.04.03.004,Cashew nuts,Rest of World,RoW,0.459,0.06,01372
A.04.03.005,Chestnuts,France,FR,0.551,0.06,01373
A.04.03.005,Chestnuts,Spain,ES,0.184,0.06,01373
A.04.03.005,Chestnuts,Rest of World,RoW,0.265,0.06,01373
A.04.03.006,Coconuts,French Polynesia,PF,0.107,0.06,01460
A.04.03.006,Coconuts,Indonesia,ID,0.144,0.06,01460
A.04.03.006,Coconuts,Philippines,PH,0.638,0.06,01460
A.04.03.006,Coconuts,Rest of World,RoW,0.112,0.06,01460
A.04.03.007,Hazelnuts,France,FR,0.285,0.06,01374
A.04.03.007,Hazelnuts,Turkey,TR,0.581,0.06,01374
A.04.03.007,Hazelnuts,Rest of World,RoW,0.134,0.06,01374
A.04.03.008,Macadamias,Spain,ES,0.274,0.06,01371
A.04.03.008,Macadamias,USA,US,0.584,0.06,01371
A.04.03.008,Macadamias,Rest of World,RoW,0.142,0.06,01371
A.04.03.009,Pecans,Spain,ES,0.274,0.06,01371
A.04.03.009,Pecans,USA,US,0.584,0.06,01371
A.04.03.009,Pecans,Rest of World,RoW,0.142,0.06,01371
A.04.03.010,Pine nut kernels,Spain,ES,0.274,0.06,01371
A.04.03.010,Pine nut kernels,USA,US,0.584,0.06,01371
A.04.03.010,Pine nut kernels,Rest of World,RoW,0.142,0.06,01371
A.04.03.011,Pistachios (Pistachia vera),Spain,ES,0.274,0.06,01371
A.04.03.011,Pistachios (Pistachia vera),USA,US,0.584,0.06,01371
