SUA Code,SUA Name,Producer Country Name,Producer Country Code,Share,Waste
"21181","pig meat, cuts, salted, dried or smoked (bacon and ham)","Rest of World","RoW",0.292,0.057
"01318","Pineapples","Costa Rica","CR",0.683,0.07
"01318","Pineapples","Thailand","TH",0.161,0.07
"01318","Pineapples","Rest of World","RoW",0.156,0.07
"01375","pistachios, in shell","Iran","IR",0.182,0.06
"01375","pistachios, in shell","USA","US",0.783,0.06
"01375","pistachios, in shell","Rest of World","RoW",0.035,0.06
"01313","Plantains and others","Colombia","CO",0.721,0.07
"01313","Plantains and others","Ecuador","EC",0.195,0.07
"01313","Plantains and others","Rest of World","RoW",0.085,0.07
"01346","Plums and sloes","Chile","CL",0.198,0.07
"01346","Plums and sloes","France","FR",0.113,0.07
"01346","Plums and sloes","South Africa","ZA",0.155,0.07
"01346","Plums and sloes","Spain","ES",0.137,0.07
"01346","Plums and sloes","USA","US",0.172,0.07
"01346","Plums and sloes","Rest of World","RoW",0.225,0.07
"01321","Pomelos and grapefruits","Israel","IL",0.109,0.07
"01321","Pomelos and grapefruits","South Africa","ZA",0.363,0.07
"01321","Pomelos and grapefruits","Spain","ES",0.165,0.07
"01321","Pomelos and grapefruits","USA","US",0.133,0.07
"01321","Pomelos and grapefruits","Rest of World","RoW",0.229,0.07
"01448","Poppy seed","France","FR",0.224,0.06
"01448","Poppy seed","Czechia","CZ",0.118,0.06
"01448","Poppy seed","Spain","ES",0.24,0.06
"01448","Poppy seed","Turkey","TR",0.347,0.06
"01448","Poppy seed","Rest of World","RoW",0.071,0.06
"01510","Potatoes","Ireland","IE",0.639,0.24
"01510","Potatoes","United Kingdom","GB",0.164,0.24
"01510","Potatoes","Rest of World","RoW",0.197,0.24
"01235","Pumpkins, squash and gourds","Germany","DE",0.101,0.07
"01235","Pumpkins, squash and gourds","Spain","ES",0.544,0.07
"01235","Pumpkins, squash and gourds","Rest of World","RoW",0.354,0.07
"01342.02","Quinces","Turkey","TR",0.669,0.06
"01342.02","Quinces","Belgium","BE",0.213,0.06
"01342.02","Quinces","Rest of World","RoW",0.118,0.06
"01194","Quinoa","Bolivia","BO",0.506,0.06
"01194","Quinoa","Peru","PE",0.471,0.06
