SUA Code,SUA Name,Category,Producer Country,Share,Organic,Waste
1317,Papayas,Fruits,RoW,0.178,0,0.07
1345,Peaches and nectarines,Fruits,RoW,0.049,0,0.07
1345,Peaches and nectarines,Fruits,Italy,0.951,0,0.07
1342.01,Pears,Fruits,RoW,0.115,0,0.07
1342.01,Pears,Fruits,Italy,0.885,0,0.07
1705,"Peas, dry","Pulses, incl feed",RoW,0.129,0,0.06
1705,"Peas, dry","Pulses, incl feed",France,0.119,0,0.06
1705,"Peas, dry","Pulses, incl feed",Italy,0.185,0,0.06
1705,"Peas, dry","Pulses, incl feed",Russian Federation,0.568,0,0.06
1242,"Peas, green",Vegetables,RoW,0.027,0,0.07
1242,"Peas, green",Vegetables,Italy,0.973,0,0.07
1651,"Pepper (Piper spp.), raw",Vegetables,Brazil,0.14,0,0.07
1651,"Pepper (Piper spp.), raw",Vegetables,RoW,0.19,0,0.07
1651,"Pepper (Piper spp.), raw",Vegetables,India,0.356,0,0.07
1651,"Pepper (Piper spp.), raw",Vegetables,Indonesia,0.314,0,0.07
1318,Pineapples,Fruits,RoW,0.133,0,0.07
1318,Pineapples,Fruits,Costa Rica,0.734,0,0.07
1318,Pineapples,Fruits,Thailand,0.132,0,0.07
1313,Plantains and cooking bananas,Fruits,RoW,0.043,0,0.07
1313,Plantains and cooking bananas,Fruits,Colombia,0.368,0,0.07
1313,Plantains and cooking bananas,Fruits,Ecuador,0.589,0,0.07
1346,Plums and sloes,Fruits,RoW,0.2,0,0.07
1346,Plums and sloes,Fruits,Italy,0.8,0,0.07
1321,Pomelos and grapefruits,Fruits,RoW,0.324,0,0.07
1321,Pomelos and grapefruits,Fruits,Israel,0.209,0,0.07
1321,Pomelos and grapefruits,Fruits,Italy,0.172,0,0.07
1321,Pomelos and grapefruits,Fruits,South Africa,0.295,0,0.07
1448,Poppy seed,Seeds,RoW,0.081,0,0.06
1448,Poppy seed,Seeds,France,0.138,0,0.06
1448,Poppy seed,Seeds,Czechia,0.301,0,0.06
1448,Poppy seed,Seeds,Spain,0.132,0,0.06
1448,Poppy seed,Seeds,Turkey,0.349,0,0.06
1510,Potatoes,Roots,RoW,0.21,0,0.24
1510,Potatoes,Roots,France,0.167,0,0.24
1510,Potatoes,Roots,Germany,0.103,0,0.24
1510,Potatoes,Roots,Italy,0.519,0,0.24
1235,"Pumpkins, squash and gourds",Vegetables,RoW,0.044,0,0.07
1235,"Pumpkins, squash and gourds",Vegetables,Italy,0.956,0,0.07
1342.02,Quinces,Other,RoW,0.088,0,0.06
1342.02,Quinces,Other,Italy,0.684,0,0.06
1342.02,Quinces,Other,Spain,0.227,0,0.06
1194,Quinoa,Seeds,Bolivia (Plurinational State of),0.443,0,0.06
1194,Quinoa,Seeds,RoW,0.013,0,0.06
1194,Quinoa,Seeds,Peru,0.544,0,0.06
1443,Rape or colza seed,Oil crops,RoW,0.474,0,0.06
1443,Rape or colza seed,Oil crops,France,0.144,0,0.06
1443,Rape or colza seed,Oil crops,Germany,0.133,0,0.06
1443,Rape or colza seed,Oil crops,Italy,0.12,0,0.06
1443,Rape or colza seed,Oil crops,Czechia,0.128,0,0.06
01443_s,"Rape or colza seed, spring",Oil crops,RoW,0.474,0,0.06
01443_s,"Rape or colza seed, spring",Oil crops,France,0.144,0,0.06
01443_s,"Rape or colza seed, spring",Oil crops,Germany,0.133,0,0.06
01443_s,"Rape or colza seed, spring",Oil crops,Italy,0.12,0,0.06
01443_s,"Rape or colza seed, spring",Oil crops,Czechia,0.128,0,0.06
01443_w,"Rape or colza seed, winter",Oil crops,RoW,0.474,0,0.06
01443_w,"Rape or colza seed, winter",Oil crops,France,0.144,0,0.06
01443_w,"Rape or colza seed, winter",Oil crops,Germany,0.133,0,0.06
01443_w,"Rape or colza seed, winter",Oil crops,Italy,0.12,0,0.06
01443_w,"Rape or colza seed, winter",Oil crops,Czechia,0.128,0,0.06
1353.01,Raspberries,Berries,RoW,0.329,0,0.07
1353.01,Raspberries,Berries,Italy,0.42,0,0.07
1353.01,Raspberries,Berries,Spain,0.25,0,0.07
113,Rice,Cereals,RoW,0.197,0,0.045
113,Rice,Cereals,Latvia,0.803,0,0.045
116,Rye,"Cereals, incl feed",Austria,0.107,0,0.045
116,Rye,"Cereals, incl feed",RoW,0.184,0,0.045
116,Rye,"Cereals, incl feed",Germany,0.383,0,0.045
116,Rye,"Cereals, incl feed",Italy,0.325,0,0.045
114,Sorghum,Cereals,RoW,0.186,0,0.045
114,Sorghum,Cereals,Italy,0.701,0,0.045
114,Sorghum,Cereals,Ukraine,0.113,0,0.045
1344.01,Sour cherries,Fruits,RoW,0.151,0,0.07
1344.01,Sour cherries,Fruits,Italy,0.849,0,0.07
141,Soya beans,Pulses,Argentina,0.259,0,0.06
141,Soya beans,Pulses,RoW,0.159,0,0.06
141,Soya beans,Pulses,Brazil,0.214,0,0.06
141,Soya beans,Pulses,Italy,0.164,0,0.06
141,Soya beans,Pulses,Paraguay,0.103,0,0.06
141,Soya beans,Pulses,Ukraine,0.103,0,0.06
1215,Spinach,Vegetables,RoW,0.008,0,0.07
1215,Spinach,Vegetables,Italy,0.992,0,0.07
1354,Strawberries,Fruits,RoW,0.04,0,0.07
1354,Strawberries,Fruits,Italy,0.799,0,0.07
1354,Strawberries,Fruits,Spain,0.161,0,0.07
1801,Sugar beet,Sugar crops,RoW,0.271,0,0.045
1801,Sugar beet,Sugar crops,France,0.232,0,0.045
1801,Sugar beet,Sugar crops,Germany,0.21,0,0.045
1801,Sugar beet,Sugar crops,Italy,0.288,0,0.045
1802,Sugar cane,Sugar crops,RoW,0.271,0,0.045
1802,Sugar cane,Sugar crops,France,0.232,0,0.045
1802,Sugar cane,Sugar crops,Germany,0.21,0,0.045
1802,Sugar cane,Sugar crops,Italy,0.288,0,0.045
1445,Sunflower seed,Oil crops,RoW,0.361,0,0.06
1445,Sunflower seed,Oil crops,Italy,0.198,0,0.06
1445,Sunflower seed,Oil crops,Russian Federation,0.287,0,0.06
1445,Sunflower seed,Oil crops,Ukraine,0.154,0,0.06
1530,Sweet potatoes,Roots,RoW,0.243,0,0.24
1530,Sweet potatoes,Roots,Italy,0.311,0,0.24
1530,Sweet potatoes,Roots,Spain,0.24,0,0.24
1530,Sweet potatoes,Roots,United States of America,0.206,0,0.24
1324,"Tangerines, mandarins, clementines",Fruits,RoW,0.008,0,0.07
1324,"Tangerines, mandarins, clementines",Fruits,Italy,0.878,0,0.07
1324,"Tangerines, mandarins, clementines",Fruits,Spain,0.114,0,0.07
1234,"Tomatoes, average",Vegetables,RoW,0.123,0,0.07
1234,"Tomatoes, average",Vegetables,Italy,0.877,0,0.07
01234_gh,"Tomatoes, greenhouse",Vegetables,RoW,0.123,0,0.07
01234_gh,"Tomatoes, greenhouse",Vegetables,Italy,0.877,0,0.07
01234_of,"Tomatoes, openfield",Vegetables,RoW,0.123,0,0.07
