"FoodEx2 Code","Long Code ","FoodEx2 Name","SUA code","SUA name","Type",,,,,
"A02GX","A.07.05.014","Water snails, conches and whelks","A02GX","Water snails, conches and whelks","Blue food",,,,,
"A02KR","A.07.06.001","Frogs (legs)","A02KR","Frogs (legs)","Blue food",,,,,
"A02LK","A.07.06.004","Snails","A02LK","Snails","Blue food",,,,,
"A0C75","I.07.01.006.001","Salmons","A0C75","Salmons","Blue food",,,,,
"A029F","I.07.01.006.002","Trouts","A029F","Trouts","Blue food",,,,,
"A027J","I.07.01.015.001","Catfishes (freshwater)","A027J","Catfishes (freshwater)","Blue food",,,,,
"A029Z","I.07.01.015.002","Wolffish","A029Z","Wolffish","Blue food",,,,,
"A02BV","I.07.01.017.001","Cod","A02BV","Cod","Blue food",,,,,
"A02EL","I.07.01.017.001","Cod liver","A02EL","Cod liver","Blue food",,,,,
"A02EP","I.07.01.017.001","Cod roe","A02EP","Cod roe","Blue food",,,,,
"A02CG","I.07.01.017.002","Whiting","A02CG","Whiting","Blue food",,,,,
"A02CA","I.07.01.017.004","Haddock","A02CA","Haddock","Blue food",,,,,
"A0F7F","I.07.03.001.003","Lumpfish roe","A0F7F","Lumpfish roe","Blue food",,,,,
"A01QV","A.06.01.001","Bovine muscle","21111.01","meat of cattle with the bone, fresh or chilled","Animal product ",,,,,
"A01QY","A.06.01.002","Calf fresh meat","21111.01","meat of cattle with the bone, fresh or chilled","Animal product ",,,,,
"A01RG","A.06.01.003","Pig muscle","21113.01","meat of pig with the bone, fresh or chilled","Animal product ",,,,,
"A01RH","A.06.01.004","Sheep muscle","21115","meat of sheep, fresh or chilled","Animal product ",,,,,
"A01RL","A.06.01.005","Goat muscle","21116","meat of goat, fresh or chilled","Animal product ",,,,,
"A01RM","A.06.01.006","Equine muscle","21118.01","horse meat, fresh or chilled","Animal product ",,,,,
"A01RQ","A.06.01.007","Rabbit fresh meat","21114","meat of rabbits and hares, fresh or chilled","Animal product ",,,,,
"A01SQ","A.06.02.002","Turkey fresh meat","21124","meat of turkeys, fresh or chilled","Animal product ",,,,,
"A01SR","A.06.02.003","Duck fresh meat","21122","meat of ducks, fresh or chilled","Animal product ",,,,,
"A01SS","A.06.02.004","Goose fresh meat","21123","meat of geese, fresh or chilled","Animal product ",,,,,
"A01TA","A.06.02.005","Pigeon fresh meat","21170.01","meat of pigeons and other birds n.e.c., fresh, chilled or frozen","Animal product ",,,,,
"A01SX","A.06.02.006","Guinea-fowl fresh meat","21121","meat of chickens, fresh or chilled","Animal product ",,,,,
"A01ST","A.06.02.007","Ratites fresh meat","21170.02","game meat, fresh, chilled or frozen","Animal product ",,,,,
"A01SH","A.06.03.001","Wild boar fresh meat","21170.02","game meat, fresh, chilled or frozen","Animal product ",,,,,
"A01SC","A.06.03.002","Deer, red fresh meat","21170.02","game meat, fresh, chilled or frozen","Animal product ",,,,,
"A01SE","A.06.03.003","European moose meat","21170.02","game meat, fresh, chilled or frozen","Animal product ",,,,,
"A01SF","A.06.03.004","Reindeer meat","21170.02","game meat, fresh, chilled or frozen","Animal product ",,,,,
"A01SJ","A.06.03.006","Hare fresh meat","21114","meat of rabbits and hares, fresh or chilled","Animal product ",,,,,
"A01SZ","A.06.04.001","Pheasant fresh meat","21170.02","game meat, fresh, chilled or frozen","Animal product ",,,,,
"A01TG","A.06.04.003","Mallard fresh meat","21170.02","game meat, fresh, chilled or frozen","Animal product ",,,,,
"A01SY","A.06.04.004","Partridge fresh meat","21170.02","game meat, fresh, chilled or frozen","Animal product ",,,,,
"A01TB","A.06.04.005","Quail fresh meat","21170.02","game meat, fresh, chilled or frozen","Animal product ",,,,,
"A02LV","A.08.01.001.002","Cow milk","02211","raw milk of cattle","Animal product ",,,,,
"A02MC","A.08.01.002","Sheep milk","02291","raw milk of sheep","Animal product ",,,,,
"A02MD","A.08.01.003","Water buffalo milk","02212","raw milk of buffalo","Animal product ",,,,,
"A02MB","A.08.01.005","Goat milk","02292","raw milk of goats","Animal product ",,,,,
"A02MG","A.08.01.007","Ass milk","02211","raw milk of cattle","Animal product ",,,,,
"A031G","A.09.01.001","Hen eggs","0231","hen eggs in shell, fresh","Animal product ",,,,,
"A031H","A.09.01.005","Duck eggs","0232","eggs from other birds in shell, fresh, n.e.c.","Animal product ",,,,,
"A031K","A.09.01.007","Quail eggs","0232","eggs from other birds in shell, fresh, n.e.c.","Animal product ",,,,,
"A033J","A.10.07","Honey","02910","Honey","Animal product ",,,,,
