Long Code,Name,Short Code,,,,,,,
"A.01.05","Pasta (Raw)","A007D",,,,"Pasta and similar products","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.001","Glass noodle","A008E",,,,"Glass noodle","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.002","Noodle, rice ","A008F",,,,"Noodle, rice","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.003","Noodle, wheat flour, with eggs ","A04LD",,,,"Pasta with egg","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.004","Noodle, wheat flour, without eggs","A04LB",,,,"Pasta, simple","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.005","Pasta, wheat flour, with eggs ","A04LD",,,,"Pasta with egg","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.006","Pasta, wheat flour, without eggs ","A04LB",,,,"Pasta, simple","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.007","Pasta, wheat flour, filled","A007S",,,,"Pasta, stuffed, uncooked","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.008","Pasta, mixed cereal flour ","A007L#F04.A004S",,,,"Dried pasta#flour mix","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.009","Pasta, rye flour ","A007L#F04.A003J",,,,"Dried pasta#rye flour ","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.010","Pasta, soy flour","A007L#F04.A01BG",,,,"Dried pasta#Soya flour or proteins","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.011","Pasta, spelt flour ","A007L#F04.A004H",,,,"Dried pasta#Spelt flour","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.012","Pasta, spelt wholemeal","A007L#F04.A004L",,,,"Dried pasta#Spelt flour, wholemeal","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.013","Pasta, wheat wholemeal, without eggs","A04LC",,,,"Pasta wholemeal","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.014","Pasta, wheat wholemeal, with eggs","A04LC#F04.A031G",,,,"Pasta wholemeal#hen eggs","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.05.015","Pasta, gluten free","A008B",,,,"Pasta, gluten free","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06","Breakfast cereals","A00CV",,,,"Breakfast cereals","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001","Cereal flakes","A00CV#F16.A07LG",,,,"Breakfast cereals#flaked","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.06.001.001","Barley flakes","A00DA",,,,"Processed barley-based flakes","Exact matching of codes between FoodEx1 and FoodEx2",,
