Food code (level 3),Food name (level 3),Processing facet code,Processing name,Comment
A.06.10.005,Liver cheese or liver loaf,F28.A07GY,Roasting,
A.06.10.008,Head cheese (Brawn),F28.A0BA1,Cooking and similar thermal preparation processes,
A.06.10.009,Sulze,F28.A0BA1,Cooking and similar thermal preparation processes,
A.06.11.002,"Pate, goose liver",F28.A07GY,Roasting,
A.06.11.003,"Pate, chicken liver",F28.A07GY,Roasting,
A.06.11.004,"Pate, pork liver",F28.A07GY,Roasting,
A.06.11.005,Terrine,F28.A07GY,Roasting,
A.06.12.001,Textured soy protein,F28.A0C0R,Processed,
A.07.02.001,Fish balls,F28.A0BA1,Cooking and similar thermal preparation processes,
A.07.02.002,Fishcakes,F28.A0BA1,Cooking and similar thermal preparation processes,
A.07.02.003,Fish fingers,F28.A0BA1,Cooking and similar thermal preparation processes,
A.07.02.004,Fish paste,F28.A0BA1,Cooking and similar thermal preparation processes,
A.07.02.005,Fish p�t�,F28.A0BA1,Cooking and similar thermal preparation processes,
A.08.02.001,Flavoured milk,F28.A0C0R,Processed,Process is good enough if the milk processing is updated!
A.08.02.002,Milkshakes,F28.A0C0R,Processed,
A.08.06.008,Buttermilk,F28.A0CQZ,Fermentation,F28.A07MH churning already included
A.08.07.002,Milk protein,F28.A07MJ,Extraction,F28.A0C0R processing included already
