"Food code","Food name","Component code","Component name","Facet(s) code","Facet(s) Description","Percentage","Probability","Reverse Yield Factor","Allocation Factor"
"I.16.08.010.007","Sweet and sour sauce","A.05.06.021","Pineapples (Ananas comosus)","F28.A0BA1","PROCESS=Cooking and similar thermal preparation processes",16.7,1,1.43,1
"I.16.08.010.007","Sweet and sour sauce","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",35.1,1,1,1
"I.16.08.010.007","Sweet and sour sauce","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,12.5,1,1,1
"I.16.08.010.007","Sweet and sour sauce","A.16.05.004","Vinegar, wine","To be further disaggregated (d)",,11.8,1,1,1
"I.16.08.010.007","Sweet and sour sauce","A.10.01.001","White sugar","To be further disaggregated (d)",,22.1,1,1,1
"I.16.08.010.008","Sweet pepper sauce","A.02.03.002","Peppers, paprika (Capsicum annuum, var. grossum and var. longum)","F28.A07GR","PROCESS=Frying",80,1,1.67,1
"I.16.08.010.008","Sweet pepper sauce","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",3,1,1,1
"I.16.08.010.008","Sweet pepper sauce","A.11.04.017","Sunflower oil","To be further disaggregated (d)",,6.7,1,1,1
"I.16.08.010.008","Sweet pepper sauce","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",10.3,1,1,1
"I.16.08.010.009","Tomato sauce","A.16.01.009","Basil, herb (Ocimum basilicum)","F28.A07XD","PROCESS=Unspecified",0.2,1,1,1
"I.16.08.010.009","Tomato sauce","A.02.02.001","Garlic, bulb (Allium sativum)","F28.A0BA1","PROCESS=Cooking and similar thermal preparation processes",0.6,1,1,1
"I.16.08.010.009","Tomato sauce","A.11.04.008","Olive oil","To be further disaggregated (d)",,3.4,0.5,1,1
"I.16.08.010.009","Tomato sauce","A.02.02.002","Onions, bulb (Allium cepa)","F28.A07GR","PROCESS=Frying",6.2,1,1.61,1
"I.16.08.010.009","Tomato sauce","A.16.02.028","Pepper, black and white (Piper nigrum)","F28.A07KG$F28.A07LA","PROCESS=Drying (dehydration), PROCESS=Grinding / milling / crushing",0.1,1,1,1
"I.16.08.010.009","Tomato sauce","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",0.4,1,1,1
"I.16.08.010.009","Tomato sauce","A.11.04.017","Sunflower oil","To be further disaggregated (d)",,3.4,0.5,1,1
"I.16.08.010.009","Tomato sauce","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",29.5,1,1,1
"I.16.08.010.009","Tomato sauce","I.02.14.013","Tomato, canned","To be further disaggregated (d)",,49.1,1,1,1
"I.16.08.010.009","Tomato sauce","I.02.14.014","Tomato, paste","To be further disaggregated (d)",,10.5,1,1,1
"I.16.08.010.010","Guacamole sauce","A.05.06.014","Avocados (Persea americana)","F28.A0C6N","PROCESS=Pulping / mashing",59.4,1,1,1
"I.16.08.010.010","Guacamole sauce","A.02.02.001","Garlic, bulb (Allium sativum)","F28.A07XD","PROCESS=Unspecified",0.45,1,1,1
"I.16.08.010.010","Guacamole sauce","A.12.01.011","Juice, Lime","To be further disaggregated (d)",,6.55,1,1,1
"I.16.08.010.010","Guacamole sauce","A.02.02.002","Onions, bulb (Allium cepa)","F28.A07XD","PROCESS=Unspecified",16.37,1,1,1
"I.16.08.010.010","Guacamole sauce","A.16.02.028","Pepper, black and white (Piper nigrum)","F28.A07KG$F28.A07LA","PROCESS=Drying (dehydration), PROCESS=Grinding / milling / crushing",0.17,1,1,1
"I.16.08.010.010","Guacamole sauce","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",0.45,1,1,1
"I.16.08.010.010","Guacamole sauce","A.02.03.001","Tomatoes (Lycopersicum esculentum)","F28.A07XD","PROCESS=Unspecified",16.61,1,1,1
"I.17.05.005","Simple cereals reconstituted with milk or other appropriate nutritious liquids","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A07XD","PROCESS=Unspecified",85,1,1,1
"I.17.05.005","Simple cereals reconstituted with milk or other appropriate nutritious liquids","A.17.05.001","Simple cereals which are or have to be reconstituted with milk or other appropriate nutritious liquids","F28.A0C0R","PROCESS=Processed",15,1,1,1
"I.17.05.006","Cereals with an added high protein food reconstituted with water or other protein-free liquid","A.17.05.002","Cereals with an added high protein food which are or have to be reconstituted with water or other protein-free liquid","F28.A0C0R","PROCESS=Processed",25,1,1,1
"I.17.05.006","Cereals with an added high protein food reconstituted with water or other protein-free liquid","A.15","Drinking water (water without any additives except carbon dioxide",,,,,,
"I.19.01.001.009","Cheeseburger","A.08.08.003","Cheese, processed, sliceable","To be further disaggregated (d)",,8.15,1,1,1
"I.19.01.001.009","Cheeseburger","A.16.06.005","Mayonnaise, 25 - 50% oil","To be further disaggregated (d)",,8.15,0.33,1,1
"I.19.01.001.009","Cheeseburger","A.19.05.001","Meat burger","To be further disaggregated (d)",,49,1,1,1
"I.19.01.001.009","Cheeseburger","A.16.05.002","Mustard, mild","To be further disaggregated (d)",,8.15,0.33,1,1
"I.19.01.001.009","Cheeseburger","A.16.05.006","Tomato ketchup","To be further disaggregated (d)",,8.15,0.34,1,1
"I.19.01.001.009","Cheeseburger","A.01.04.001.001","Wheat bread, white","To be further disaggregated (d)",,34.7,1,1,1
"I.19.01.001.010","Double burger","A.08.08.003","Cheese, processed, sliceable","To be further disaggregated (d)",,9,1,1,1
"I.19.01.001.010","Double burger","A.16.06.005","Mayonnaise, 25 - 50% oil","To be further disaggregated (d)",,2,1,1,1
"I.19.01.001.010","Double burger","A.19.05.001","Meat burger","To be further disaggregated (d)",,56,1,1,1
"I.19.01.001.010","Double burger","A.16.05.002","Mustard, mild","To be further disaggregated (d)",,2,1,1,1
"I.19.01.001.010","Double burger","A.16.05.006","Tomato ketchup","To be further disaggregated (d)",,2,1,1,1
"I.19.01.001.010","Double burger","A.01.04.001.001","Wheat bread, white","To be further disaggregated (d)",,29,1,1,1
"I.19.01.001.011","Hamburger","A.16.06.005","Mayonnaise, 25 - 50% oil","To be further disaggregated (d)",,5,0.33,1,1
"I.19.01.001.011","Hamburger","A.19.05.001","Meat burger","To be further disaggregated (d)",,45,1,1,1
"I.19.01.001.011","Hamburger","A.16.05.002","Mustard, mild","To be further disaggregated (d)",,5,0.33,1,1
"I.19.01.001.011","Hamburger","A.16.05.006","Tomato ketchup","To be further disaggregated (d)",,5,0.34,1,1
"I.19.01.001.011","Hamburger","A.01.04.001.001","Wheat bread, white","To be further disaggregated (d)",,50,1,1,1
"I.19.01.001.012","Doner kebab","A.16.05.007","Barbecue sauce","To be further disaggregated (d)",,13.6,1,1,1
"I.19.01.001.012","Doner kebab","A.02.05.001","Lamb's lettuce (Valerianella locusta)","To be further disaggregated (d)",,10,1,1,1
"I.19.01.001.012","Doner kebab","A.06.01.004","Mutton / lamb meat (Ovis aries)","F28.A07GY","PROCESS=Roasting",36.8,0.76,1.75,1
"I.19.01.001.012","Doner kebab","A.02.02.002","Onions, bulb (Allium cepa)","F28.A07GR","PROCESS=Frying",10,1,1.61,1
"I.19.01.001.012","Doner kebab","A.01.04.005.007","Pita bread","To be further disaggregated (d)",,29.6,1,1,1
"I.19.01.001.012","Doner kebab","A.06.01.003","Pork / piglet meat (Sus scrofa)","F28.A07GY","PROCESS=Roasting",36.8,0.24,1.61,1
"I.19.01.001.013","Hot dog","A.02.03.007","Gherkins (Cucumis sativus)","F28.A07KC","PROCESS=Pickling",1.35,1,1,1
"I.19.01.001.013","Hot dog","A.16.05.002","Mustard, mild","To be further disaggregated (d)",,1.35,1,1,1
"I.19.01.001.013","Hot dog","A.02.02.002","Onions, bulb (Allium cepa)","F28.A07GR","PROCESS=Frying",18.8,1,1.61,1
"I.19.01.001.013","Hot dog","A.16.05.006","Tomato ketchup","To be further disaggregated (d)",,12.5,1,1,1
"I.19.01.001.013","Hot dog","A.01.04.001.010","Wheat rolls, white","To be further disaggregated (d)",,31,1,1,1
"I.19.01.001.013","Hot dog","A.06.09.004.007","Wiener, sausage","To be further disaggregated (d)",,35,1,1,1
"I.19.01.001.014","Sausage roll","A.16.05.002","Mustard, mild","To be further disaggregated (d)",,5.94,1,1,1
"I.19.01.001.014","Sausage roll","I.01.07.001.050","Puff pastry","To be further disaggregated (d)",,44.93,1,1,1
"I.19.01.001.014","Sausage roll","A.06.09.001.001","Salsiccia","To be further disaggregated (d)",,49.13,1,1,1
"I.19.01.001.015","Bapao sandwich","A.06.01.001","Beef meat (Bos spp.)","F28.A07GR","PROCESS=Frying",18.2,0.35,1.67,1
"I.19.01.001.015","Bapao sandwich","A.06.02.001","Chicken meat (Gallus domesticus)","F28.A07GR","PROCESS=Frying",18.2,0.53,1.25,1
"I.19.01.001.015","Bapao sandwich","A.01.03.004.003","Corn starch","To be further disaggregated (d)",,0.49,1,1,1
"I.19.01.001.015","Bapao sandwich","A.02.02.001","Garlic, bulb (Allium sativum)","F28.A0BA1","PROCESS=Cooking and similar thermal preparation processes",0.32,1,1,1
"I.19.01.001.015","Bapao sandwich","A.11.06.001","Margarine, normal fat","To be further disaggregated (d)",,1.96,1,1,1
"I.19.01.001.015","Bapao sandwich","I.16.08.009.002","Oyster sauce","To be further disaggregated (d)",,2.43,1,1,1
"I.19.01.001.015","Bapao sandwich","A.06.01.003","Pork / piglet meat (Sus scrofa)","F28.A07GR","PROCESS=Frying",18.2,0.12,1.47,1
"I.19.01.001.015","Bapao sandwich","A.11.04.015","Sesame oil","To be further disaggregated (d)",,2.43,1,1,1
"I.19.01.001.015","Bapao sandwich","A.16.05.011","Soy sauce","To be further disaggregated (d)",,2.43,1,1,1
"I.19.01.001.015","Bapao sandwich","A.02.02.004","Spring onions, bulb (Allium cepa)","F28.A07GR","PROCESS=Frying",1.21,1,1.61,1
"I.19.01.001.015","Bapao sandwich","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",18.2,1,1,1
"I.19.01.001.015","Bapao sandwich","A.11.04","Vegetable oil","To be further disaggregated (p)",,2.43,1,1,1
"I.19.01.001.015","Bapao sandwich","A.01.03.001.003","Wheat flour, white","To be further disaggregated (d)",,45.29,1,1,1
"I.19.01.001.015","Bapao sandwich","A.10.01.001","White sugar","To be further disaggregated (d)",,4.04,1,1,1
"I.19.01.001.015","Bapao sandwich","A.16.10.001","Yeast","F28.A07XD","PROCESS=Unspecified",0.57,1,1,1
"I.19.01.001.016","Fish burger","A.07.02.003","Fish fingers","To be further disaggregated (d)",,46,1,1,1
"I.19.01.001.016","Fish burger","A.16.06.005","Mayonnaise, 25 - 50% oil","To be further disaggregated (d)",,15,0.33,1,1
"I.19.01.001.016","Fish burger","A.16.05.002","Mustard, mild","To be further disaggregated (d)",,15,0.33,1,1
"I.19.01.001.016","Fish burger","A.16.05.006","Tomato ketchup","To be further disaggregated (d)",,15,0.34,1,1
"I.19.01.001.016","Fish burger","A.01.04.001.001","Wheat bread, white","To be further disaggregated (d)",,39,1,1,1
"I.19.01.001.017","Pierogi, with meat","A.06.01.001","Beef meat (Bos spp.)","F28.A07GY","PROCESS=Roasting",20,0.37,1.61,1
"I.19.01.001.017","Pierogi, with meat","A.06.02.001","Chicken meat (Gallus domesticus)","F28.A07GY","PROCESS=Roasting",20,0.1,1.33,1
"I.19.01.001.017","Pierogi, with meat","A.01.07.001.045","Dumpling","To be further disaggregated (d)",,70,1,1,1
"I.19.01.001.017","Pierogi, with meat","A.02.02.002","Onions, bulb (Allium cepa)","F28.A07GR","PROCESS=Frying",10,1,1.61,1
"I.19.01.001.017","Pierogi, with meat","A.06.01.003","Pork / piglet meat (Sus scrofa)","F28.A07GY","PROCESS=Roasting",20,0.54,1.61,1
"I.19.01.001.018","Pierogi, with vegetables","A.16.10.003","Baking powder","To be further disaggregated (d)",,0.91,1,1,1
"I.19.01.001.018","Pierogi, with vegetables","A.11.01.001","Butter","To be further disaggregated (d)",,4.53,1,1,1
"I.19.01.001.018","Pierogi, with vegetables","A.03.01.002","Main-crop potatoes","F28.A07GG","PROCESS=Cooking in water",25.35,1,1,1
"I.19.01.001.018","Pierogi, with vegetables","A.02.02.002","Onions, bulb (Allium cepa)","F28.A07GR","PROCESS=Frying",8.45,1,1.61,1
"I.19.01.001.018","Pierogi, with vegetables","A.16.02.028","Pepper, black and white (Piper nigrum)","F28.A07KG$F28.A07LA","PROCESS=Drying (dehydration), PROCESS=Grinding / milling / crushing",0.11,1,1,1
"I.19.01.001.018","Pierogi, with vegetables","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",0.48,1,1,1
"I.19.01.001.018","Pierogi, with vegetables","A.02.14.006","Sauerkraut","To be further disaggregated (d)",,12.98,1,1,1
"I.19.01.001.018","Pierogi, with vegetables","A.08.05.003.004","Sour cream 20 % fat","To be further disaggregated (d)",,13.7,1,1,1
"I.19.01.001.018","Pierogi, with vegetables","A.01.03.001.003","Wheat flour, white","To be further disaggregated (d)",,22.63,1,1,1
"I.19.01.001.018","Pierogi, with vegetables","A.09.01.001","Whole egg, chicken","F28.A07XD","PROCESS=Unspecified",10.86,1,1,1
"I.19.01.002.009","Pizza base, cooked","A.11.04.008","Olive oil","To be further disaggregated (d)",,8.83,1,1,1
"I.19.01.002.009","Pizza base, cooked","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",1.3,1,1,1
"I.19.01.002.009","Pizza base, cooked","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",20,1,1,1
"I.19.01.002.009","Pizza base, cooked","A.01.03.001.003","Wheat flour, white","To be further disaggregated (d)",,65.84,1,1,1
"I.19.01.002.009","Pizza base, cooked","A.10.01.001","White sugar","To be further disaggregated (d)",,2.08,1,1,1
"I.19.01.002.009","Pizza base, cooked","A.16.04.015","Yeast extract","To be further disaggregated (d)",,1.95,1,1,1
"I.19.01.002.010","Pizza, cheese-fish","A.08.08.064","Cheese, Edam","To be further disaggregated (d)",,7,1,1,1
"I.19.01.002.010","Pizza, cheese-fish","A.08.08.120","Cheese, Mozzarella","To be further disaggregated (d)",,7,1,1,1
"I.19.01.002.010","Pizza, cheese-fish","A.02.02.002","Onions, bulb (Allium cepa)","F28.A07GR","PROCESS=Frying",4.7,1,1.61,1
"I.19.01.002.010","Pizza, cheese-fish","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,46.5,1,1,1
"I.19.01.002.010","Pizza, cheese-fish","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,26,1,1,1
"I.19.01.002.010","Pizza, cheese-fish","A.07.01.014","Tuna (Thunnus)","F28.A07GY","PROCESS=Roasting",8.8,1,1.35,1
"I.19.01.002.011","Pizza, cheese-shellfish","A.08.08.065","Cheese, Emmental","To be further disaggregated (d)",,9.94,1,1,1
"I.19.01.002.011","Pizza, cheese-shellfish","A.07.05.007","Mussel (Mytilus edulis)","F28.A07GG","PROCESS=Cooking in water",9.6,1,1,1
"I.19.01.002.011","Pizza, cheese-shellfish","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,49,1,1,1
"I.19.01.002.011","Pizza, cheese-shellfish","A.07.05.010","Scallop (Pecten spp.)","F28.A07XD","PROCESS=Unspecified",3.97,1,1,1
"I.19.01.002.011","Pizza, cheese-shellfish","A.07.04.005","Shrimps (Crangon crangon)","F28.A07GY","PROCESS=Roasting",5.63,1,1.05,1
"I.19.01.002.011","Pizza, cheese-shellfish","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,21.86,1,1,1
"I.19.01.002.012","Laugengebaeck, cheese","A.08.08.065","Cheese, Emmental","To be further disaggregated (d)",,19.15,1,1,1
"I.19.01.002.012","Laugengebaeck, cheese","A.20.01.006","Pretzels","To be further disaggregated (d)",,80.85,1,1,1
"I.19.01.002.013","Pizza, cheese","A.08.08.120","Cheese, Mozzarella","To be further disaggregated (d)",,21.1,1,1,1
"I.19.01.002.013","Pizza, cheese","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,56.4,1,1,1
"I.19.01.002.013","Pizza, cheese","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",1.4,1,1,1
"I.19.01.002.013","Pizza, cheese","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,21.1,1,1,1
"I.19.01.002.014","Bread roll, cheese","A.11.01.001","Butter","To be further disaggregated (d)",,10,1,1,1
"I.19.01.002.014","Bread roll, cheese","A.08.08.080","Cheese, Gouda","To be further disaggregated (d)",,30,1,1,1
"I.19.01.002.014","Bread roll, cheese","A.01.04.001.010","Wheat rolls, white","To be further disaggregated (d)",,60,1,1,1
"I.19.01.002.015","Pizza, tomato","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,63.42,1,1,1
"I.19.01.002.015","Pizza, tomato","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,28.57,1,1,1
"I.19.01.002.015","Pizza, tomato","A.02.03.001","Tomatoes (Lycopersicum esculentum)","F28.A0BA1","PROCESS=Cooking and similar thermal preparation processes",8.01,1,1.2,1
"I.19.01.002.016","Pizza, vegetarian","A.02.04.001","Broccoli (Brassica oleracea var. italica)","F28.A0BA1","PROCESS=Cooking and similar thermal preparation processes",5.4,1,0.9,1
"I.19.01.002.016","Pizza, vegetarian","A.02.01.003","Carrots (Daucus carota)","F28.A0BA1","PROCESS=Cooking and similar thermal preparation processes",6.6,1,1.06,1
"I.19.01.002.016","Pizza, vegetarian","A.02.04.002","Cauliflower (Brassica oleracea var. botrytis)","F28.A0BA1","PROCESS=Cooking and similar thermal preparation processes",6,1,1,1
"I.19.01.002.016","Pizza, vegetarian","A.08.08.049","Cheese, Cheddar","To be further disaggregated (d)",,6.9,1,1,1
"I.19.01.002.016","Pizza, vegetarian","A.08.08.058","Cheese, Cream Havarti","To be further disaggregated (d)",,27.05,1,1,1
"I.19.01.002.016","Pizza, vegetarian","A.02.03.002","Peppers, paprika (Capsicum annuum, var. grossum and var. longum)","F28.A0BA1","PROCESS=Cooking and similar thermal preparation processes",9,1,1.15,1
"I.19.01.002.016","Pizza, vegetarian","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,27.05,1,1,1
"I.19.01.002.016","Pizza, vegetarian","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",1.2,1,1,1
"I.19.01.002.016","Pizza, vegetarian","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,10.8,1,1,1
"I.19.01.002.017","Pizza, cheese-spinach","A.08.08.129","Cheese, Parmigiano Reggiano","To be further disaggregated (d)",,7,1,1,1
"I.19.01.002.017","Pizza, cheese-spinach","A.08.08.144","Cheese, Ricotta","To be further disaggregated (d)",,39.5,1,1,1
"I.19.01.002.017","Pizza, cheese-spinach","A.02.02.002","Onions, bulb (Allium cepa)","F28.A0BA1","PROCESS=Cooking and similar thermal preparation processes",9.9,1,1.17,1
"I.19.01.002.017","Pizza, cheese-spinach","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,4.4,1,1,1
"I.19.01.002.017","Pizza, cheese-spinach","A.02.05.010","Spinach (fresh) (Spinacia oleracea)","F28.A0BA1","PROCESS=Cooking and similar thermal preparation processes",33,1,1.05,1
"I.19.01.002.017","Pizza, cheese-spinach","A.09.01.001","Whole egg, chicken","F28.A07XD","PROCESS=Unspecified",6.2,1,1,1
"I.19.01.002.018","Pizza, cheese-tomato","A.08.08.064","Cheese, Edam","To be further disaggregated (d)",,3.1,1,1,1
"I.19.01.002.018","Pizza, cheese-tomato","A.08.08.120","Cheese, Mozzarella","To be further disaggregated (d)",,22,1,1,1
"I.19.01.002.018","Pizza, cheese-tomato","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,47.5,1,1,1
"I.19.01.002.018","Pizza, cheese-tomato","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,21.4,1,1,1
"I.19.01.002.018","Pizza, cheese-tomato","A.02.03.001","Tomatoes (Lycopersicum esculentum)","F28.A07XD","PROCESS=Unspecified",6,1,1,1
"I.19.01.002.019","Laugengebaeck, cheese-onion","A.08.08.065","Cheese, Emmental","To be further disaggregated (d)",,18,1,1,1
"I.19.01.002.019","Laugengebaeck, cheese-onion","A.02.02.002","Onions, bulb (Allium cepa)","F28.A07GR","PROCESS=Frying",6,1,1.61,1
"I.19.01.002.019","Laugengebaeck, cheese-onion","A.20.01.006","Pretzels","To be further disaggregated (d)",,76,1,1,1
"I.19.01.002.020","Pizza, cheese-ham","A.08.08.120","Cheese, Mozzarella","To be further disaggregated (d)",,11.8,1,1,1
"I.19.01.002.020","Pizza, cheese-ham","I.06.08.016","Cooked Ham, Pork","To be further disaggregated (d)",,11.8,1,1,1
"I.19.01.002.020","Pizza, cheese-ham","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,58.8,1,1,1
"I.19.01.002.020","Pizza, cheese-ham","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,17.6,1,1,1
"I.19.01.002.021","Pizza, cheese-chicken","A.08.08.120","Cheese, Mozzarella","To be further disaggregated (d)",,20.65,1,1,1
"I.19.01.002.021","Pizza, cheese-chicken","A.06.02.001","Chicken meat (Gallus domesticus)","F28.A07GY","PROCESS=Roasting",13.42,1,1.33,1
"I.19.01.002.021","Pizza, cheese-chicken","A.02.03.002","Peppers, paprika (Capsicum annuum, var. grossum and var. longum)","F28.A07GZ","PROCESS=Broiling/grilling",9.6,1,1.08,1
"I.19.01.002.021","Pizza, cheese-chicken","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,46,1,1,1
"I.19.01.002.021","Pizza, cheese-chicken","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,10.33,1,1,1
"I.19.01.002.022","Pizza, cheese-salami","A.08.08.120","Cheese, Mozzarella","To be further disaggregated (d)",,20.7,1,1,1
"I.19.01.002.022","Pizza, cheese-salami","A.06.09.006","Dry sausage","To be further disaggregated (p)",,10.8,1,1,1
"I.19.01.002.022","Pizza, cheese-salami","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,45.5,1,1,1
"I.19.01.002.022","Pizza, cheese-salami","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,23,1,1,1
"I.19.01.002.023","Pizza, cheese-kebab","A.08.08.120","Cheese, Mozzarella","To be further disaggregated (d)",,21,1,1,1
"I.19.01.002.023","Pizza, cheese-kebab","A.06.02.001","Chicken meat (Gallus domesticus)","F28.A07GY","PROCESS=Roasting",8,1,1.33,1
"I.19.01.002.023","Pizza, cheese-kebab","A.02.03.002","Peppers, paprika (Capsicum annuum, var. grossum and var. longum)","F28.A07GZ","PROCESS=Broiling/grilling",3,1,1.08,1
"I.19.01.002.023","Pizza, cheese-kebab","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,58,1,1,1
"I.19.01.002.023","Pizza, cheese-kebab","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,10,1,1,1
"I.19.01.002.024","Pizza, cheese-beef","A.06.01.001","Beef meat (Bos spp.)","F28.A07GY","PROCESS=Roasting",10.8,1,1.61,1
"I.19.01.002.024","Pizza, cheese-beef","A.08.08.120","Cheese, Mozzarella","To be further disaggregated (d)",,20.7,1,1,1
"I.19.01.002.024","Pizza, cheese-beef","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,45.5,1,1,1
"I.19.01.002.024","Pizza, cheese-beef","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,23,1,1,1
"I.19.01.002.025","Laugengebaeck, cheese-bacon","A.06.08.007","Bacon","To be further disaggregated (d)",,6,1,1,1
"I.19.01.002.025","Laugengebaeck, cheese-bacon","A.08.08.065","Cheese, Emmental","To be further disaggregated (d)",,18,1,1,1
"I.19.01.002.025","Laugengebaeck, cheese-bacon","A.20.01.006","Pretzels","To be further disaggregated (d)",,76,1,1,1
"I.19.01.002.026","Pizza, cheese-anchovy","A.07.01.004","Anchovy (Engraulis)","F28.A0BYP","PROCESS=Canning / jarring",5.6,1,1.25,1
"I.19.01.002.026","Pizza, cheese-anchovy","A.16.02.009","Capers (Capparis spinosa)","F28.A07XD","PROCESS=Unspecified",3,1,1,1
"I.19.01.002.026","Pizza, cheese-anchovy","A.08.08.120","Cheese, Mozzarella","To be further disaggregated (d)",,21.6,1,1,1
"I.19.01.002.026","Pizza, cheese-anchovy","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,51.8,1,1,1
"I.19.01.002.026","Pizza, cheese-anchovy","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,18,1,1,1
"I.19.01.002.027","Pizza, cheese-artichoke-ham","A.08.08.120","Cheese, Mozzarella","To be further disaggregated (d)",,17.2,1,1,1
"I.19.01.002.027","Pizza, cheese-artichoke-ham","I.06.08.016","Cooked Ham, Pork","To be further disaggregated (d)",,9.7,1,1,1
"I.19.01.002.027","Pizza, cheese-artichoke-ham","A.02.07.005","Globe artichokes (Cynara scolymus)","F28.A0BA1","PROCESS=Cooking and similar thermal preparation processes",9.7,1,1.32,1
"I.19.01.002.027","Pizza, cheese-artichoke-ham","I.19.01.002.009","Pizza base, cooked","To be further disaggregated (d)",,35.8,1,1,1
"I.19.01.002.027","Pizza, cheese-artichoke-ham","A.02.14.003","Tomato pur̩e","To be further disaggregated (d)",,27.6,1,1,1
"I.19.01.003.007","Pasta, cooked, with bolognese sauce","I.16.08.008.001","Bolognese sauce","To be further disaggregated (d)",,58,1,1,1
"I.19.01.003.007","Pasta, cooked, with bolognese sauce","I.01.05.016","Plain pasta, cooked","To be further disaggregated (d)",,42,1,1,1
"I.19.01.003.008","Pasta, cooked, with carbonara sauce","I.16.08.008.002","Carbonara sauce","To be further disaggregated (d)",,59,1,1,1
"I.19.01.003.008","Pasta, cooked, with carbonara sauce","I.01.05.016","Plain pasta, cooked","To be further disaggregated (d)",,41,1,1,1
"I.19.01.003.009","Pasta, cooked, with fish/shellfish","I.16.08.001.001","Cheese sauce","To be further disaggregated (d)",,25.13,1,1,1
"I.19.01.003.009","Pasta, cooked, with fish/shellfish","A.08.08.049","Cheese, Cheddar","To be further disaggregated (d)",,2.5,1,1,1
"I.19.01.003.009","Pasta, cooked, with fish/shellfish","I.01.05.016","Plain pasta, cooked","To be further disaggregated (d)",,25.13,1,1,1
"I.19.01.003.009","Pasta, cooked, with fish/shellfish","I.16.08.010.009","Tomato sauce","To be further disaggregated (d)",,32.16,1,1,1
"I.19.01.003.009","Pasta, cooked, with fish/shellfish","A.07.01.014","Tuna (Thunnus)","F28.A07GG","PROCESS=Cooking in water",15.08,1,1.25,1
"I.19.01.003.010","Pasta, cooked, with tomato sauce","I.01.05.016","Plain pasta, cooked","To be further disaggregated (d)",,42,1,1,1
"I.19.01.003.010","Pasta, cooked, with tomato sauce","I.16.08.010.009","Tomato sauce","To be further disaggregated (d)",,58,1,1,1
"I.19.01.003.011","Pasta, cooked, with garlic","A.16.01.009","Basil, herb (Ocimum basilicum)","F28.A07XD","PROCESS=Unspecified",0.28,1,1,1
"I.19.01.003.011","Pasta, cooked, with garlic","A.02.02.001","Garlic, bulb (Allium sativum)","F28.A0BA1","PROCESS=Cooking and similar thermal preparation processes",0.65,1,1,1
"I.19.01.003.011","Pasta, cooked, with garlic","A.11.04.008","Olive oil","To be further disaggregated (d)",,0.87,1,1,1
"I.19.01.003.011","Pasta, cooked, with garlic","A.16.01.005","Parsley, herb (Petroselinum crispum)","F28.A07XD","PROCESS=Unspecified",0.6,1,1,1
"I.19.01.003.011","Pasta, cooked, with garlic","I.01.05.016","Plain pasta, cooked","To be further disaggregated (d)",,97.18,1,1,1
"I.19.01.003.011","Pasta, cooked, with garlic","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",0.42,1,1,1
"I.19.01.003.012","Pasta, cooked, with meat and vegetables","A.06.08.007","Bacon","To be further disaggregated (d)",,1,1,1,1
