Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2021","2021","kg/ha","26190.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2022","2022","kg/ha","34248.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2023","2023","kg/ha","28000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2024","2024","kg/ha","27383.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2020","2020","kg/ha","1069.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2021","2021","kg/ha","1143.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2022","2022","kg/ha","1099.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2023","2023","kg/ha","1043.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01445","Sunflower seed","2024","2024","kg/ha","1012.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01376","Walnuts, in shell","2020","2020","kg/ha","2857.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01376","Walnuts, in shell","2021","2021","kg/ha","2814.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01376","Walnuts, in shell","2022","2022","kg/ha","2356.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01376","Walnuts, in shell","2023","2023","kg/ha","3375","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01376","Walnuts, in shell","2024","2024","kg/ha","3499.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01221","Watermelons","2020","2020","kg/ha","14949.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01221","Watermelons","2021","2021","kg/ha","14125.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01221","Watermelons","2022","2022","kg/ha","14603.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01221","Watermelons","2023","2023","kg/ha","15215.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01221","Watermelons","2024","2024","kg/ha","15531.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2020","2020","kg/ha","1943.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2021","2021","kg/ha","1963.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0111","Wheat","2022","2022","kg/ha","2045.3","A","Official figure",""
