"FoodEx2 Code","Long Code ","FoodEx2 Name","Code","SUA name"
"A03JM","A.02.10.011","Maté (Ilex paraguariensis)","01630","Maté leaves"
"A018Z","A.16.02.028","Pepper, black and white (Piper nigrum)","01699","Other stimulant, spice and aromatic crops, n.e.c."
"A00JB","A.02.03.003","Chilli pepper (Capsicum frutescens)","01231","chillies and peppers, green (capsicum spp. and pimenta spp.)"
"A018J","A.16.02.027","Nutmeg (Myristica fragans)","01699","Other stimulant, spice and aromatic crops, n.e.c."
"A019V","A.16.02.014","Cinnamon (Cinnamonum verum syn. C. zeylanicum)","01699","Other stimulant, spice and aromatic crops, n.e.c."
"A01AL","A.16.02.015","Cloves (Syzygium aromaticum)","01699","Other stimulant, spice and aromatic crops, n.e.c."
"A01AB","A.16.02.022","Ginger (Zingiber officinale)","01699","Other stimulant, spice and aromatic crops, n.e.c."
"A047F","A.16.09.003","Vanilla pods (Vanilla fragrans syn. Vanilla planifolia)","01699","Other stimulant, spice and aromatic crops, n.e.c."
"A013S","A.04.02.004","Lupins (Lupinus spp.)","01709.02","Lupins"
"A016B","A.04.04.013","Hempseed (Cannabis sativa)","01449.90","Other oil seeds, n.e.c."
"AX11A","A.X1.01.01","Cultured Meat (Bos. Spp.)","NF-01","Cultured Meat (Bos. Spp.)"
"AX21A","A.X1.02.01","Microbial Milk (T. reesei)","NF-02","Microbial Milk (T. reesei)"
"AX31A","A.X1.03.01","Microbial Ovalbumin (T. reesei)","NF-03","Microbial Ovalbumin (T. reesei)"
"AX12A","A.X1.01.02","Microbial Protein (Solein)","NF-04","Microbial Protein (Solein)"
"AX13A","A.X1.01.03","Mycoprotein (Quorn)","NF-05","Mycoprotein (Quorn)"
"AX14A","A.X1.04.01","Microbial Fat (yeast - M. pulcherrima)","NF-06","Microbial Fat (yeast - M. pulcherrima)"
"A00YZ","A.02.14.012","Hops (dried), including hop pellets and unconcentrated powder (Humulus lupulus)","MI-01","Hops (dried), including hop pellets and unconcentrated powder (Humulus lupulus)"
"A046P","A.10.02.002.002","Aspartam","MI-02","Aspartam"
"A046Q","A.10.02.002.003","Acesulfame K","MI-03","Acesulfame K"
"A046R","A.10.02.002.004","Sucralose","MI-04","Sucralose"
"A03DL","A.15.01","Tap water","MI-05","Tap water"
"A042P","A.16.04.001","Salt","MI-05","Salt"
"A043P","A.16.04.015","Yeast extract","MI-06","Yeast extract"
"A048A","A.16.04.016","Monosodium glutamate","MI-07","Monosodium glutamate"
"A047L","A.16.09.008","Liquorice (Glycyrrhiza glabra)","MI-08","Liquorice (Glycyrrhiza glabra)"
"A049A","A.16.10.001","Yeast","MI-09","Yeast"
"A048Q","A.16.10.002","Sodium bicarbonate","MI-10","Sodium bicarbonate"
"A048R","A.16.10.007","Gum","MI-11","Gum"
"A047Y","A.16.10.008","Gelatine","MI-12","Gelatine"
"A048Q","A.16.10.009","Cream of tartar","MI-13","Cream of tartar"
,"I.02.08.004","Agave tequilana","MI-14","Agave tequilana"
,"I.02.08.005","Maples (trunk sap)","MI-15","Maples (trunk sap)"
,"I.16.09.009","Citric acid","MI-16","Citric acid"
,"I.16.09.011","Caffeine","MI-17","Caffeine"
,"I.16.09.012","Caramel color","MI-18","Caramel color"
,"I.16.09.013","Phosphoric acid","MI-19","Phosphoric acid"
